FID,Direction,Pattern_De,RouteNum,RouteName,Shape_Leng,Orientatn,RunDays,WkPeakFrq,WkBaseFrq,WkNightFrq,SaBaseFrq,SaNightFrq,SuBaseFrq,SuNightFrq,SpanType,Span_Wk,Span_Sat,Span_Sun,RouteType,Date,Shape__Len
"5",Southbound,Between 7 Mile and Downtown via Grand River,"3",Grand River,77254.24597,Downtown,Mon-Sun,"10","15","20","20","20","30","60",24Hr,24Hr,24Hr,24Hr,ConnectTen,"1573862400000",31857.8947732034
"6",Northbound,Between 7 Mile and Downtown via Grand River,"3",Grand River,78560.6466034,Downtown,Mon-Sun,"10","15","20","20","20","30","60",24Hr,24Hr,24Hr,24Hr,ConnectTen,"1573862400000",32397.1884126191
"7",Southbound,Between State Fair TC and Downtown via Woodward,"4",Woodward,46713.0580831,Downtown,Mon-Sun,"12","15","30","15","30","20","35",24Hr,24Hr,24Hr,24Hr,ConnectTen,"1573862400000",19303.7094551101
"8",Northbound,Between State Fair TC and Downtown via Woodward,"4",Woodward,46653.0346563,Downtown,Mon-Sun,"12","15","30","15","30","20","35",24Hr,24Hr,24Hr,24Hr,ConnectTen,"1573862400000",19279.0518941982
"11",Eastbound,Between Downtown and 8 Mile via Gratiot,"6",Gratiot,55137.9993641,Downtown,Mon-Sun,"15","15","45","18","60","25","60",24Hr,24Hr,24Hr,24Hr,ConnectTen,"1573862400000",22781.6537348585
"12",Westbound,Between Downtown and 8 Mile via Gratiot,"6",Gratiot,56108.879535,Downtown,Mon-Sun,"15","15","45","18","60","25","60",24Hr,24Hr,24Hr,24Hr,ConnectTen,"1573862400000",23182.4989447626
"19",Southbound,Between Fairlane Mall and Providence Hospital via Greenfield,"10",Greenfield,70640.7962235,North-South,Mon-Sun,"15","15","60","20","30","35","60",24Hr,24Hr,24Hr,24Hr,ConnectTen,"1573862400000",29192.1443658462
"20",Northbound,Between Fairlane Mall and Providence Hospital via Greenfield,"10",Greenfield,67276.626409,North-South,Mon-Sun,"15","15","60","20","30","35","60",24Hr,24Hr,24Hr,24Hr,ConnectTen,"1573862400000",27803.2784073366
"29",Northbound,"Between Downtown, Southfield, WCCCD via Cass, Dexter, Greenfield","16",Dexter,99919.991659,Downtown,Mon-Sun,"12","15","30","30","60","30","60",24Hr,24Hr,24Hr,24Hr,Key Route,"1573862400000",41258.2122480465
"30",Southbound,"Between Downtown, Southfield, WCCCD via Cass, Dexter, Greenfield","16",Dexter,98932.2442876,Downtown,Mon-Sun,"12","15","30","30","60","30","60",24Hr,24Hr,24Hr,24Hr,Key Route,"1573862400000",40849.3198806027
"71",Southbound,Between Fairlane Mall and OCC Southfield via Southfield Service Drive,"46",Southfield,65989.8857911,North-South,Mon-Fri,"40","0","50","50","0","0","0",Peak hours,0600 to 2111,0635 to 2037,No service,Part-Time Route,"1573862400000",27272.6535674909
"72",Northbound,Between Fairlane Mall and OCC Southfield via Southfield Service Drive,"46",Southfield,65808.1747996,North-South,Mon-Fri,"40","0","50","50","0","0","0",Peak hours,0600 to 2111,0635 to 2037,No service,Part-Time Route,"1573862400000",27194.0675543487
"87",Westbound,Between Grosse Pointe Park and Henry Ford Hospital via Jefferson,"80",Villages Direct,35055.4800035,East-West,Mon-Fri,"30","0","0","0","0","0","0",Peak hours,0537 to 2010,No service,No service,Part-Time Route,"1573862400000",14453.9696923294
"88",Eastbound,Between Grosse Pointe Park and Henry Ford Hospital via Jefferson,"80",Villages Direct,35060.8093611,East-West,Mon-Fri,"30","0","0","0","0","0","0",Peak hours,0537 to 2010,No service,No service,Part-Time Route,"1573862400000",14456.1651175308
"89",Westbound,Between Grosse Pointe Park and Henry Ford Hospital via Jefferson,"80",Villages Direct,13756.0991519,East-West,Mon-Fri,"30","0","0","0","0","0","0",Peak hours,0537 to 2010,No service,No service,Part-Time Route,"1573862400000",5677.31097145522
"90",Westbound,Express Portion,"80",Villages Direct,8556.75598992,East-West,Mon-Fri,"30","0","0","0","0","0","0",Peak hours,0537 to 2010,No service,No service,Part-Time Route,"1573862400000",3533.91856409778
"91",Eastbound,Between Grosse Pointe Park and Henry Ford Hospital via Jefferson,"80",Villages Direct,13711.5572023,East-West,Mon-Fri,"30","0","0","0","0","0","0",Peak hours,0537 to 2010,No service,No service,Part-Time Route,"1573862400000",5658.90903246951
"92",Eastbound,Express Portion,"80",Villages Direct,8924.08645606,East-West,Mon-Fri,"30","0","0","0","0","0","0",Peak hours,0537 to 2010,No service,No service,Part-Time Route,"1573862400000",3685.31164528163
"93",Northbound,Express Portion,"89",Southwest Direct,13910.1742164,North-South,Mon-Fri,"40","0","0","0","0","0","0",Peak hours,0534 to 1941,No service,No service,Part-Time Route,"1573862400000",5732.98532011132
"94",Southbound,Between SW and Henry Ford Hospital,"89",Southwest Direct,10382.8741871,North-South,Mon-Fri,"40","0","0","0","0","0","0",Peak hours,0534 to 1941,No service,No service,Part-Time Route,"1573862400000",4284.96196769085
"95",Southbound,Express Portion,"89",Southwest Direct,8296.37012436,North-South,Mon-Fri,"40","0","0","0","0","0","0",Peak hours,0534 to 1941,No service,No service,Part-Time Route,"1573862400000",3426.26046657778
"96",Southbound,Between SW and Henry Ford Hospital,"89",Southwest Direct,24465.014525,North-South,Mon-Fri,"40","0","0","0","0","0","0",Peak hours,0534 to 1941,No service,No service,Part-Time Route,"1573862400000",10082.5085388786
"97",Southbound,Between SW and Henry Ford Hospital,"89",Southwest Direct,11653.1160954,North-South,Mon-Fri,"40","0","0","0","0","0","0",Peak hours,0534 to 1941,No service,No service,Part-Time Route,"1573862400000",4802.76565167396
"98",Northbound,Between SW and Henry Ford Hospital,"89",Southwest Direct,10699.5574345,North-South,Mon-Fri,"40","0","0","0","0","0","0",Peak hours,0534 to 1941,No service,No service,Part-Time Route,"1573862400000",4416.41745281444
"99",Northbound,Express Portion,"89",Southwest Direct,8668.2182202,North-South,Mon-Fri,"40","0","0","0","0","0","0",Peak hours,0534 to 1941,No service,No service,Part-Time Route,"1573862400000",3578.94576721578
"100",Northbound,Between SW and Henry Ford Hospital,"89",Southwest Direct,24464.7876857,North-South,Mon-Fri,"40","0","0","0","0","0","0",Peak hours,0534 to 1941,No service,No service,Part-Time Route,"1573862400000",10082.4140045282
"101",Northbound,Between SW and Henry Ford Hospital,"89",Southwest Direct,11549.7564534,North-South,Mon-Fri,"40","0","0","0","0","0","0",Peak hours,0534 to 1941,No service,No service,Part-Time Route,"1573862400000",4760.1692273472
"102",Southbound,Express Portion,"89",Southwest Direct,15794.2463891,North-South,Mon-Fri,"40","0","0","0","0","0","0",Peak hours,0534 to 1941,No service,No service,Part-Time Route,"1573862400000",6508.52469776923
"103",Eastbound,Express Portion,"92",Rosedale Express,42770.7993297,East-West,Mon-Fri,"35","0","0","0","0","0","0",Peak hours,0535 to 1855,No service,No service,Part-Time Route,"1573862400000",17639.6364024523
"104",Westbound,Express Portion,"92",Rosedale Express,42341.2644761,East-West,Mon-Fri,"35","0","0","0","0","0","0",Peak hours,0535 to 1855,No service,No service,Part-Time Route,"1573862400000",17462.2071150938
"105",Eastbound,Between Northwest and Downtown,"92",Rosedale Express,7789.77093783,East-West,Mon-Fri,"35","0","0","0","0","0","0",Peak hours,0535 to 1855,No service,No service,Part-Time Route,"1573862400000",3211.90179816945
"106",Eastbound,Between Northwest and Downtown,"92",Rosedale Express,38635.3917699,East-West,Mon-Fri,"35","0","0","0","0","0","0",Peak hours,0535 to 1855,No service,No service,Part-Time Route,"1573862400000",15956.9043410869
"107",Westbound,Between Northwest and Downtown,"92",Rosedale Express,39765.7078892,East-West,Mon-Fri,"35","0","0","0","0","0","0",Peak hours,0535 to 1855,No service,No service,Part-Time Route,"1573862400000",16423.0348033442
"108",Westbound,Between Northwest and Downtown,"92",Rosedale Express,7708.6651134,East-West,Mon-Fri,"35","0","0","0","0","0","0",Peak hours,0535 to 1855,No service,No service,Part-Time Route,"1573862400000",3178.78870933579
"109",Southbound,Between Northeast and Downtown,"95",Ryan Express,36510.0110653,Downtown,Mon-Fri,"35","0","0","0","0","0","0",Peak hours,0551 to 1845,No service,No service,Part-Time Route,"1573862400000",15078.3015488359
"110",Northbound,Between Northeast and Downtown,"95",Ryan Express,36216.7707309,Downtown,Mon-Fri,"35","0","0","0","0","0","0",Peak hours,0551 to 1845,No service,No service,Part-Time Route,"1573862400000",14957.0586832217
"111",Southbound,Express Portion,"95",Ryan Express,19450.4977948,Downtown,Mon-Fri,"35","0","0","0","0","0","0",Peak hours,0551 to 1845,No service,No service,Part-Time Route,"1573862400000",8035.83766427854
"112",Southbound,Between Northeast and Downtown,"95",Ryan Express,4645.93450577,Downtown,Mon-Fri,"35","0","0","0","0","0","0",Peak hours,0551 to 1845,No service,No service,Part-Time Route,"1573862400000",1916.75052579945
"113",Northbound,Between Northeast and Downtown,"95",Ryan Express,4477.80707078,Downtown,Mon-Fri,"35","0","0","0","0","0","0",Peak hours,0551 to 1845,No service,No service,Part-Time Route,"1573862400000",1847.54808925397
"114",Northbound,Express Portion,"95",Ryan Express,19617.3222739,Downtown,Mon-Fri,"35","0","0","0","0","0","0",Peak hours,0551 to 1845,No service,No service,Part-Time Route,"1573862400000",8105.08085695491
"115",Southbound,Between Westside and  Downtown,"96",Joy Express,35798.5463319,Downtown,Mon-Fri,"35","0","0","0","0","0","0",Peak hours,0543 to 1854,No service,No service,Part-Time Route,"1573862400000",14757.027938324
"116",Northbound,Between Westside and  Downtown,"96",Joy Express,36052.210873,Downtown,Mon-Fri,"35","0","0","0","0","0","0",Peak hours,0543 to 1854,No service,No service,Part-Time Route,"1573862400000",14861.9212874534
"117",Southbound,Between Westside and  Downtown,"96",Joy Express,7672.73722351,Downtown,Mon-Fri,"35","0","0","0","0","0","0",Peak hours,0543 to 1854,No service,No service,Part-Time Route,"1573862400000",3163.67286314208
"118",Southbound,Express Portion,"96",Joy Express,25347.1909509,Downtown,Mon-Fri,"35","0","0","0","0","0","0",Peak hours,0543 to 1854,No service,No service,Part-Time Route,"1573862400000",10451.2408545718
"119",Northbound,Express Portion,"96",Joy Express,25429.3802986,Downtown,Mon-Fri,"35","0","0","0","0","0","0",Peak hours,0543 to 1854,No service,No service,Part-Time Route,"1573862400000",10485.467945615
"120",Northbound,Between Westside and  Downtown,"96",Joy Express,7774.57755791,Downtown,Mon-Fri,"35","0","0","0","0","0","0",Peak hours,0543 to 1854,No service,No service,Part-Time Route,"1573862400000",3205.95303069205
